"Timestamp","How would you describe yourself?","Do you currently own or use a dash-cam?","If you answered 'No' to the previous question, would you be likely to purchase one in order to be able to use this application?","If you were to use a dual-recording system (to record the road and yourself for feedback purposes), which setup would you *most likely* use?","Based on your experience with the application demo, how likely would you be to use this system during your driving practice, lessons or general driving to reduce your tendency to make mistakes?","If you answered 'Not at all likely' (1-4 on the previous scale), please briefly explain why you would hesitate to use the system.","Are there any specific features or tools you would like to see added to this application?","What is the maximum you would be willing to pay (per month) for a premium version of this application, assuming it offered valuable coaching and feedback features?","Do you have any other general feedback, concerns, or suggestions regarding the concept of this learner driver application?"
"2026/03/17 4:33:37 pm CET","Fully licensed driver (previously a learner driver)","Yes","","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","5","","","Free (ad-supported only)",""
"2026/03/21 11:46:52 am CET","Fully licensed driver (previously a learner driver)","Yes","","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","6","Four main barriers to using the present the app on daily basis: 1. The hassle of transferring videos from the dashcam to the website (requires two transfers of huge files); 2. The hassle of learning how the website works (even though the author made it as easy as possible); 3. The need to recalibrate the analysis, possibly a few times, before obtaining reliable results. 4. For many people knowing that they are being recorded can be a factor of psychological distraction, introducing nervousness and/or bias in their driving method. ","I think a web-app is not the best realisation of the concept. It would make more sense and be easier to use if it was part of a 3-in-1 dashcam system/app. Additional features I would welcome: recognition and analysis of a broader settl of manoeuvres, better suited for learner drivers. ","Free (ad-supported only)","Good luck with your project report!🤞"
"2026/03/27 2:22:25 pm CET","Fully licensed driver (previously a learner driver)","No","No","A standard phone holder for my smartphone","1","im goated","no","Free (ad-supported only)","no"
"2026/03/27 2:22:28 pm CET","Currently a learner driver (or looking to learn to drive soon)","No","Yes","A standard phone holder for my smartphone","8","","","Up to £1.99 / €2.50 / $2.50",""
"2026/03/27 2:31:09 pm CET","Fully licensed driver (previously a learner driver)","No","No","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","3","Not an issue with the system per se, I would simply be unlikely to watch back footage of my driving to see where mistakes occurred. To me, dashcams are a preventative measure for theft or useful as a form of proof if accidents occur, the additional time that it would take to review footage of driving where there is no accident makes me highly unlikely to use it. ","A feedback report that could be sent directly to one's device. Instead of having to parse through the videos, if it highlights the mistakes (or frequent mistakes) and compiles them into a clean place to see, rather than having to go back to the old video, that may make one more likely to look. ","Free (ad-supported only)","Would be interesting to see how well the system works with lower resolution footage from cheap dashcams. "
"2026/03/27 2:39:45 pm CET","Fully licensed driver (previously a learner driver)","No","Yes","A standard phone holder for my smartphone","8","","","Up to £4.99 / €6.00 / $6.00",""
"2026/03/27 4:15:34 pm CET","Fully licensed driver (previously a learner driver)","No","No","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","6","","More events including cars being in a nearby lane or in front of / behind the users vehicle","Up to £4.99 / €6.00 / $6.00","It's not clear how somebody would set up the application with the dashcam "
"2026/03/27 5:48:16 pm CET","Fully licensed driver (previously a learner driver)","No","No","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","9","","","Up to £4.99 / €6.00 / $6.00",""
"2026/03/27 5:50:35 pm CET","Fully licensed driver (previously a learner driver)","No","No","A standard phone holder for my smartphone","5","","","Free (ad-supported only)",""
"2026/03/27 5:58:18 pm CET","Fully licensed driver (previously a learner driver)","No","Yes","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","10","N/A","N/A","Up to £9.99 / €12.00 / $12.00","N/A"
"2026/03/27 6:00:48 pm CET","Fully licensed driver (previously a learner driver)","No","Yes","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","7","","","Up to £9.99 / €12.00 / $12.00",""
"2026/03/27 9:43:51 pm CET","Fully licensed driver (previously a learner driver)","Yes","","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","7","","n/a","Up to £9.99 / €12.00 / $12.00","n/a"
"2026/03/28 12:13:24 am CET","Fully licensed driver (previously a learner driver)","Yes","","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","10","","","Up to £1.99 / €2.50 / $2.50",""
"2026/03/28 12:27:31 pm CET","Fully licensed driver (previously a learner driver)","No","Yes","A standard phone holder for my smartphone","6","","","Free (ad-supported only)",""
"2026/03/29 12:30:28 am CET","Fully licensed driver (previously a learner driver)","No","Yes","I would not use a dual-recording system","7","","","Up to £4.99 / €6.00 / $6.00",""
"2026/03/29 8:06:47 pm CET","Fully licensed driver (previously a learner driver)","Yes","","A dedicated 2-in-1 dashcam system (road-facing and cabin-facing cameras)","5","There is a probability it could work against me","","Free (ad-supported only)","I think it would be good to have such app during learning driving and discuss the outcomes of the lessons and app info with the instructor "
"2026/03/30 10:01:13 am CET","Fully licensed driver (previously a learner driver)","No","No","A standard phone holder for my smartphone","8","","I think one of the issue for drivers for example is a specific sun light limiting visibility, or water condensation. ","Free (ad-supported only)",""
